"age","education","default","balance","housing","contact","month","duration","campaign","TermDeposit"
31,"secondary","no",131,"yes","cellular","may",294,1,"no"
35,"tertiary","no",171,"no","cellular","aug",204,2,"no"
28,"secondary","no",3029,"yes","cellular","may",58,6,"no"
29,"secondary","no",1937,"no","unknown","aug",6,1,"no"
54,"secondary","no",1483,"yes","cellular","may",53,2,"no"
37,"tertiary","no",3043,"yes","cellular","may",249,1,"no"
30,"tertiary","no",2666,"no","cellular","aug",475,2,"yes"
60,"secondary","no",4,"no","telephone","feb",882,2,"no"
31,"tertiary","no",12569,"no","cellular","sep",344,1,"yes"
31,"tertiary","no",307,"no","cellular","nov",597,2,"no"
41,"secondary","no",803,"yes","unknown","may",88,3,"no"
54,"unknown","no",907,"yes","unknown","may",71,1,"no"
45,"secondary","no",61,"yes","unknown","may",208,1,"no"
48,"tertiary","no",658,"yes","cellular","jul",89,1,"no"
34,"tertiary","no",0,"yes","cellular","may",197,2,"no"
57,"primary","no",1183,"no","cellular","aug",111,4,"no"
23,"tertiary","no",377,"no","unknown","aug",7,1,"no"
34,"secondary","no",2048,"yes","cellular","nov",307,2,"no"
32,"secondary","no",104,"no","cellular","feb",233,3,"no"
47,"secondary","yes",0,"no","cellular","aug",644,9,"no"
37,"secondary","no",-333,"yes","unknown","may",345,1,"no"
32,"secondary","no",822,"yes","cellular","may",19,8,"no"
32,"tertiary","no",2976,"yes","cellular","aug",88,5,"no"
46,"secondary","no",4007,"no","cellular","feb",380,5,"no"
31,"secondary","no",309,"yes","unknown","may",146,6,"no"
46,"secondary","no",521,"yes","cellular","jan",246,1,"no"
32,"secondary","no",-352,"no","cellular","aug",275,5,"no"
58,"primary","no",0,"yes","unknown","jun",204,4,"no"
47,"secondary","no",947,"no","cellular","feb",124,2,"no"
78,"primary","no",4917,"no","cellular","dec",195,2,"no"
31,"secondary","no",757,"no","cellular","feb",343,2,"no"
53,"secondary","no",6248,"no","cellular","jan",885,1,"no"
29,"secondary","no",-79,"yes","cellular","may",16,4,"no"
59,"secondary","no",2011,"no","cellular","nov",222,2,"no"
60,"tertiary","no",759,"no","cellular","aug",136,2,"no"
37,"secondary","no",11303,"no","cellular","may",500,2,"no"
31,"secondary","no",423,"no","cellular","aug",215,1,"no"
40,"tertiary","no",-4,"yes","unknown","may",2033,1,"no"
39,"primary","no",13,"no","unknown","jun",59,4,"no"
40,"secondary","no",0,"yes","unknown","may",59,4,"no"
52,"tertiary","no",1089,"no","cellular","feb",216,4,"no"
26,"primary","no",-122,"yes","unknown","jun",670,3,"yes"
36,"secondary","no",1855,"yes","cellular","feb",75,1,"no"
28,"secondary","no",2385,"yes","unknown","jun",119,2,"no"
33,"secondary","no",705,"yes","cellular","may",112,2,"no"
39,"tertiary","no",-33,"yes","unknown","may",62,5,"no"
30,"tertiary","no",162,"yes","unknown","may",186,4,"no"
36,"secondary","no",47,"no","unknown","jun",159,1,"no"
58,"primary","no",747,"yes","telephone","may",104,1,"no"
60,"secondary","no",598,"no","cellular","jul",96,1,"no"
47,"secondary","no",1387,"yes","unknown","may",219,4,"no"
60,"secondary","no",2060,"no","cellular","mar",454,1,"no"
24,"secondary","no",166,"no","cellular","sep",256,2,"yes"
47,"primary","no",0,"yes","cellular","aug",138,4,"no"
31,"tertiary","no",62,"yes","cellular","may",175,1,"no"
37,"tertiary","no",7944,"no","cellular","nov",102,1,"no"
35,"tertiary","no",331,"yes","cellular","may",30,5,"no"
40,"tertiary","no",1616,"no","telephone","jul",1009,7,"yes"
55,"secondary","no",2476,"yes","unknown","may",579,1,"yes"
56,"secondary","no",1928,"no","cellular","mar",61,6,"no"
41,"secondary","no",1226,"no","cellular","nov",261,1,"no"
39,"secondary","no",169,"yes","unknown","may",38,1,"no"
36,"secondary","no",3158,"yes","cellular","jun",144,2,"yes"
29,"secondary","no",596,"no","cellular","jan",510,2,"no"
23,"secondary","no",105,"yes","unknown","may",305,2,"no"
24,"secondary","no",-73,"yes","cellular","may",7,2,"no"
33,"tertiary","no",1805,"no","cellular","aug",211,4,"no"
28,"secondary","no",118,"yes","cellular","may",376,3,"no"
38,"tertiary","no",3995,"no","cellular","aug",1111,6,"no"
40,"unknown","no",419,"yes","unknown","may",112,3,"no"
50,"secondary","no",1651,"yes","unknown","may",41,2,"no"
27,"secondary","no",1511,"yes","cellular","may",74,1,"no"
32,"primary","no",528,"yes","cellular","apr",219,1,"no"
37,"secondary","no",654,"no","unknown","may",594,2,"no"
28,"tertiary","no",1840,"no","cellular","dec",1472,1,"no"
45,"primary","no",147,"yes","cellular","nov",226,1,"no"
48,"secondary","no",2739,"no","telephone","jul",173,4,"no"
36,"secondary","no",9149,"yes","cellular","aug",141,3,"no"
47,"primary","yes",25,"yes","cellular","jul",142,3,"no"
45,"secondary","no",-124,"no","cellular","aug",343,4,"no"
47,"secondary","no",49,"yes","cellular","jul",66,7,"no"
36,"unknown","no",714,"no","unknown","may",277,3,"no"
37,"tertiary","no",0,"no","cellular","aug",112,4,"no"
33,"secondary","no",177,"yes","cellular","may",100,1,"no"
44,"unknown","no",-299,"yes","unknown","may",268,1,"no"
32,"tertiary","no",1583,"yes","cellular","nov",100,1,"no"
45,"unknown","no",248,"yes","unknown","may",88,5,"no"
38,"secondary","no",475,"yes","cellular","feb",412,1,"no"
40,"secondary","no",334,"no","cellular","mar",219,1,"yes"
41,"tertiary","no",-81,"no","unknown","jul",83,3,"no"
28,"tertiary","no",6791,"no","telephone","aug",361,1,"no"
47,"secondary","no",3346,"yes","unknown","may",284,2,"no"
46,"secondary","no",0,"yes","cellular","may",264,2,"no"
57,"tertiary","no",2887,"yes","cellular","feb",123,1,"no"
32,"secondary","no",457,"no","cellular","jul",109,3,"no"
53,"secondary","no",175,"yes","unknown","may",49,4,"no"
42,"tertiary","no",295,"yes","cellular","aug",109,3,"no"
31,"secondary","no",78,"yes","cellular","jul",97,2,"no"
51,"secondary","no",936,"yes","unknown","may",253,16,"no"
30,"secondary","no",336,"no","cellular","jan",67,1,"no"
57,"primary","no",52,"yes","unknown","may",38,1,"no"
55,"unknown","no",666,"no","unknown","may",73,5,"no"
39,"secondary","no",462,"yes","cellular","may",590,1,"yes"
24,"secondary","no",653,"yes","unknown","jun",247,3,"no"
33,"tertiary","no",546,"yes","unknown","may",253,1,"no"
32,"secondary","no",301,"yes","cellular","apr",383,3,"no"
29,"tertiary","no",354,"yes","unknown","may",255,1,"no"
38,"secondary","no",3834,"yes","cellular","apr",363,2,"no"
29,"tertiary","no",4737,"yes","unknown","jun",226,1,"no"
33,"secondary","no",1430,"yes","cellular","may",74,3,"no"
32,"secondary","no",1097,"yes","unknown","may",298,2,"no"
25,"tertiary","no",4923,"yes","cellular","may",78,4,"no"
40,"tertiary","no",1082,"no","cellular","feb",264,1,"no"
30,"tertiary","no",5288,"yes","unknown","may",288,3,"no"
34,"secondary","no",4943,"yes","cellular","nov",117,2,"no"
26,"tertiary","no",8839,"yes","unknown","may",932,3,"no"
53,"primary","no",8918,"yes","telephone","jul",173,2,"no"
27,"secondary","no",1600,"yes","unknown","may",135,1,"no"
30,"secondary","no",384,"no","cellular","aug",73,3,"no"
46,"unknown","no",842,"yes","telephone","may",833,1,"yes"
43,"primary","no",555,"yes","cellular","may",175,2,"no"
49,"secondary","no",1120,"yes","telephone","may",226,2,"no"
